Id,Cons,Country,Seats,Population,Seat/Pop
1,Austria,Austria,20,9104772,455238
2,Bulgaria,Bulgaria,17,6447710,379277
3,Croatia,Croatia,12,3850894,320907
4,Cyprus,Cyprus,6,920701,153450
5,Czech Republic,Czech Republic,22,10827529,492160
6,Denmark,Denmark,15,5932654,395510
7,Estonia,Estonia,7,1365884,195126
8,Finland,Finland,15,5563970,370931
9,France,France,79,68070697,861654
10,Germany,Germany,96,84358845,878737
11,Greece,Greece,21,10394055,494955
12,Hungary,Hungary,21,9597085,457004
13,Latvia,Latvia,9,1883008,209223
14,Lithuania,Lithuania,11,2857279,259752
15,Luxembourg,Luxembourg,6,660809,110134
16,Malta,Malta,6,542051,90341
17,Netherlands,Netherlands,31,17811291,574557
18,Portugal,Portugal,21,10467366,498446
19,Romania,Romania,33,19051562,577320
20,Slovakia,Slovakia,15,5428792,361919
21,Slovenia,Slovenia,9,2116792,235199
22,Spain,Spain,61,48059777,787865
23,Sweden,Sweden,21,10521556,501026
24,Pomeranian_PL,Poland,3,2337769,779256
25,Kuyavian_Pomeranian_PL,Poland,2,2074517,1037258
26,Podlaskie_and_Warmian-Masurian_PL,Poland,3,2605397,868465
27,Warsaw_PL,Poland,6,2226531,371088
28,Masovian_PL,Poland,3,2416902,805634
29,Lodz_PL,Poland,3,2416902,805634
30,Greater_Poland_PL,Poland,5,3594363,718872
31,Lublin_PL,Poland,3,2112216,704072
32,Subcarpathian_PL,Poland,3,2127462,709154
33,Lesser_Poland_PL,Poland,6,4642232,773705
34,Silesian_PL,Poland,7,4524091,646298
35,Lower_Silesian_PL,Poland,4,3884331,971082
36,Lubusz_West_Pomeranian_PL,Poland,4,2695034,673758
37,Dublin_IRL,Ireland,4,1458154,364538
38,South_IRL,Ireland,5,1717015,343403
39,Midlands-Northwest_IRL,Ireland,5,1946417,389283
40,North-West_IT,Italy,20,15832000,791600
41,North-East_IT,Italy,15,11541000,769400
42,Central_IT,Italy,15,11724000,781600
43,Southern_IT,Italy,18,13512000,750666
44,Islands_IT,Italy,8,6421000,802625
45,Eupen_BE,Belgium,1,77949,77949
46,Flandern_BE,Belgium,13,6900000,530769
47,Wallonie_BE,Belgium,8,3658975,457371